,sepal_len,sepal_wid,petal_len,petal_wid,class
40,-1.0218490407414595,1.0320572244889565,-1.3981381087490836,-1.1815037572407716,2
12,-1.2641847816287624,-0.12495760117130933,-1.3412724047598314,-1.4444496972795189,2
19,-0.9006811702978088,1.7262661198851155,-1.284406700770579,-1.1815037572407716,2
21,-0.9006811702978088,1.494863154753063,-1.284406700770579,-1.0500307872213979,2
43,-1.0218490407414595,1.0320572244889565,-1.2275409967813267,-0.7870848471826506,2
29,-1.3853526520724133,0.3378483290927974,-1.2275409967813267,-1.3129767272601454,2
32,-0.7795132998541568,2.4204750152812746,-1.284406700770579,-1.4444496972795189,2
20,-0.537177558966854,0.8006542593569032,-1.1706752927920745,-1.3129767272601454,2
8,-1.7488562634033669,-0.3563605663033627,-1.3412724047598314,-1.3129767272601454,2
33,-0.4160096885232032,2.651877980413329,-1.3412724047598314,-1.3129767272601454,2
11,-1.2641847816287624,0.8006542593569032,-1.2275409967813267,-1.3129767272601454,2
30,-1.2641847816287624,0.10644536396074403,-1.2275409967813267,-1.3129767272601454,2
39,-0.9006811702978088,0.8006542593569032,-1.284406700770579,-1.3129767272601454,2
6,-1.5065205225160652,0.8006542593569032,-1.3412724047598314,-1.1815037572407716,2
27,-0.7795132998541568,1.0320572244889565,-1.284406700770579,-1.3129767272601454,2
48,-0.658345429410506,1.494863154753063,-1.284406700770579,-1.3129767272601454,2
16,-0.537177558966854,1.957669085017169,-1.3981381087490836,-1.0500307872213979,2
31,-0.537177558966854,0.8006542593569032,-1.284406700770579,-1.0500307872213979,2
4,-1.0218490407414595,1.2634601896210098,-1.3412724047598314,-1.3129767272601454,2
38,-1.7488562634033669,-0.12495760117130933,-1.3981381087490836,-1.3129767272601454,2
17,-0.9006811702978088,1.0320572244889565,-1.3412724047598314,-1.1815037572407716,2
46,-0.9006811702978088,1.7262661198851155,-1.2275409967813267,-1.3129767272601454,2
28,-0.7795132998541568,0.8006542593569032,-1.3412724047598314,-1.3129767272601454,2
22,-1.5065205225160652,1.2634601896210098,-1.5687352207168408,-1.3129767272601454,2
3,-1.5065205225160652,0.10644536396074403,-1.284406700770579,-1.3129767272601454,2
34,-1.1430169111851105,0.10644536396074403,-1.284406700770579,-1.4444496972795189,2
49,-1.0218490407414595,0.5692512942248498,-1.3412724047598314,-1.3129767272601454,2
47,-1.5065205225160652,0.3378483290927974,-1.3412724047598314,-1.3129767272601454,2
36,-0.4160096885232032,1.0320572244889565,-1.3981381087490836,-1.3129767272601454,2
26,-1.0218490407414595,0.8006542593569032,-1.2275409967813267,-1.0500307872213979,2
92,-0.05250607719224957,-1.0505694616995218,0.13723589896072927,0.001752972933591456,1
67,-0.05250607719224957,-0.8191664965674684,0.19410160294998138,-0.2611929671051558,1
63,0.31099753413870407,-0.3563605663033627,0.5352958268854957,0.2646989129723388,1
88,-0.29484181807955234,-0.12495760117130933,0.19410160294998138,0.13322594295296525,1
81,-0.4160096885232032,-1.5133753919636286,-0.03336121300702764,-0.2611929671051558,1
51,0.6745011454696588,0.3378483290927974,0.4215644189069909,0.3961718829917126,1
95,-0.1736739476359004,-0.12495760117130933,0.250967306939234,0.001752972933591456,1
72,0.5533332750260068,-1.281972426831575,0.6490272348640005,0.3961718829917126,1
86,1.0380047568006125,0.10644536396074403,0.5352958268854957,0.3961718829917126,1
74,0.6745011454696588,-0.3563605663033627,0.30783301092848614,0.13322594295296525,1
78,0.18982966369505322,-0.3563605663033627,0.4215644189069909,0.3961718829917126,1
59,-0.7795132998541568,-0.8191664965674684,0.08037019497147688,0.2646989129723388,1
77,1.0380047568006125,-0.12495760117130933,0.7058929388532527,0.6591178230304598,1
53,-0.4160096885232032,-1.7447783570956819,0.13723589896072927,0.13322594295296525,1
94,-0.29484181807955234,-0.8191664965674684,0.250967306939234,0.13322594295296525,1
50,1.401508368131566,0.3378483290927974,0.5352958268854957,0.2646989129723388,1
70,0.06866179325140237,0.3378483290927974,0.5921615308747479,0.7905907930498337,1
99,-0.1736739476359004,-0.587763531435416,0.19410160294998138,0.13322594295296525,1
54,0.7956690159133096,-0.587763531435416,0.4784301228962431,0.3961718829917126,1
73,0.31099753413870407,-0.587763531435416,0.5352958268854957,0.001752972933591456,1
75,0.9168368863569605,-0.12495760117130933,0.3646987149177388,0.2646989129723388,1
60,-1.0218490407414595,-2.438987252491841,-0.1470926209855324,-0.2611929671051558,1
96,-0.1736739476359004,-0.3563605663033627,0.250967306939234,0.13322594295296525,1
68,0.432165404582356,-1.9761813222277342,0.4215644189069909,0.3961718829917126,1
93,-1.0218490407414595,-1.7447783570956819,-0.26082402896403717,-0.2611929671051558,1
57,-1.1430169111851105,-1.5133753919636286,-0.26082402896403717,-0.2611929671051558,1
80,-0.4160096885232032,-1.5133753919636286,0.02350449098222449,-0.12971999708578205,1
62,0.18982966369505322,-1.9761813222277342,0.13723589896072927,-0.2611929671051558,1
71,0.31099753413870407,-0.587763531435416,0.13723589896072927,0.13322594295296525,1
